,Id,Immobilisations incorporelles,Immobilisations corporelles,Actifs financiers non courants,Stocks et travaux en-cours,Créances clients et comptes rattachés,Trésorerie et équivalents de trésorerie,Total actif,Capitaux propres,Provisions pour risques et charges non courantes,Dettes financières non courantes,Dettes financières courantes,Fournisseurs et comptes rattaches,Total passif,Chiffre d'affaires,Produits des activités ordinaires,Résultat opérationnel,Coût de l'endettement financier net,Quote part resultats des Sociétés Mises en Equivalence,RN des activités abandonnées,Résultat net
998,999,1397800.0,18525900.0,600300.0,28156000.0,2500400.0,2280000.0,1810781.0,3164700,89000.0,11709600.0,8.0,2379000.0,1810781.0,184 119,279 700,63 194,1 211,144 800,0,0
999,1000,2490000.0,19248700.0,672300.0,28310000.0,2477900.0,2474000.0,1657936.0,3237300,132000.0,12655000.0,5.0,1435000.0,1957676.0,0,0,0,0,0,0,0
1000,1001,3687000.0,19855300.0,693400.0,31550000.0,2205800.0,27346.0,8171200.0,3335500,9075.0,11189600.0,11.0,2446400.0,8171200.0,25 124 600,15 227 500,162 400,10 816,-192,0,3 510 000
1001,1002,3572000.0,18901100.0,20423000.0,30401000.0,8358000.0,45579.0,7940400.0,2716700,9315.0,8984000.0,340.0,2714500.0,7940400.0,25 911 100,15 854 700,173 700,15 909,-1 319,0,3 632 000
1002,1003,3200000.0,16609000.0,16534000.0,4742.0,6078000.0,37036.0,7900800.0,834232,9905.0,7463000.0,0.0,2233700.0,7900800.0,27 188 700,18 401 000,255 100,18 140,0,0,6 630 000
1003,1004,17140.0,16773000.0,17165000.0,6209.0,6841000.0,46605.0,8926900.0,972434,11083.0,8189000.0,0.0,2083600.0,8926900.0,26 009 900,16 988 900,115 100,13 932,0,0,24 000
1004,1005,17367.0,17294000.0,13219000.0,12716.0,6206000.0,34778.0,97499.0,1113327,2241.0,14082000.0,0.0,13444000.0,97499.0,0,0,0,0,0,0,0
1005,1006,19990.0,16674000.0,51978.0,9502.0,197310.0,39841.0,69856.0,0,2756.0,241340.0,0.0,16237000.0,69856.0,36 843,162 774 783,44 688,73 000,0,0,-8 359
1006,1007,24729.0,55520.0,56879.0,98924.0,232582.0,43661.0,30317.0,494484,3122.0,516022.0,0.0,41234000.0,30317.0,35 129,174 780 859,47 381,66 000,0,0,-5 870
1007,1008,2025.0,82927.0,69778.0,125397.0,261908.0,0.0,20200.0,528905,0.0,479860.0,0.0,33397000.0,20200.0,85 819,175 133 547,42 033,73 000,0,0,-5 398
